IP,MAC,Tipo,Fabricante,Sistema,Estado,Paquetes,Puertos,RiskScore,Severidad,Perfiles,Alertas
192.168.1.1,DA:58:3D:72:C5:E4,smartphone,Privada/Aleatoria,Linux/Mac,confirmado,1571,,0,—,,0
192.168.1.2,8E:63:F4:86:1E:ED,smartphone,Privada/Aleatoria,Linux/Mac,confirmado,154,,0,—,,0
192.168.1.3,66:07:9D:FE:1A:73,smartphone,Privada/Aleatoria,Linux/Mac,confirmado,102,,0,—,,0
192.168.1.4,68:6D:BC:D4:6B:8A,servidor,Hikvision,Linux,confirmado,373,80 554 8000 9010,35,medio,Cámara IP,7
192.168.1.7,94:08:53:53:98:43,pc,Samsung,Linux,confirmado,7,,0,—,,0
192.168.1.252,00:00:CA:01:02:03,wired_generic,Attachmate,Desconocido,confirmado,6,,0,—,,0
192.168.1.254,60:D2:48:7A:A3:2C,router,Tenda,Ubiquiti,confirmado,56,80 443,8,info,,5
