IP,MAC,Tipo,Fabricante,Sistema,Estado,Paquetes,Puertos,RiskScore,Severidad,Perfiles,Alertas
192.168.1.1,DA:58:3D:72:C5:E4,smartphone,Privada/Aleatoria,Linux/Mac,confirmado,1565,,0,—,,0
192.168.1.3,66:07:9D:FE:1A:73,smartphone,Privada/Aleatoria,Linux/Mac,confirmado,58,,0,—,,0
192.168.1.4,68:6D:BC:D4:6B:8A,servidor,Hikvision,Linux,confirmado,441,80 554 8000 9010,100,alto,Cámara IP,7
192.168.1.7,94:08:53:53:98:43,pc,Samsung,Linux,confirmado,7,,0,—,,0
192.168.1.252,00:00:CA:01:02:03,wired_generic,Attachmate,Desconocido,fantasma,7,,0,—,,0
192.168.1.254,60:D2:48:7A:A3:2C,router,Tenda,Ubiquiti,sospechoso,27,80 443,8,info,,5
