IP,MAC,Tipo,Fabricante,Sistema,Estado,Paquetes,Puertos,RiskScore,Severidad,Perfiles,Alertas
192.168.1.1,68:6d:bc:d4:6b:8a,servidor,Hikvision,Linux,confirmado,428,80 554 8000 9010,35,medio,Cámara IP,7
192.168.1.2,da:58:3d:72:c5:e4,smartphone,Privada/Aleatoria,Linux/Mac,confirmado,311,,0,—,,0
192.168.1.3,66:07:9d:fe:1a:73,smartphone,Privada/Aleatoria,Linux/Mac,confirmado,247,,0,—,,0
192.168.1.5,8e:63:f4:86:1e:ed,smartphone,Privada/Aleatoria,Linux/Mac,fantasma,132,,0,—,,0
192.168.1.7,94:08:53:53:98:43,pc,Samsung,Linux/Mac,confirmado,14647,,0,—,,0
192.168.1.252,00:00:ca:01:02:03,wired_generic,Attachmate,Linux/Mac,confirmado,261,,0,—,,0
192.168.1.254,60:d2:48:7a:a3:2c,router,Tenda,Ubiquiti,confirmado,691,80 443,8,info,,4
